"","sub_id","step","action","held","target","yield","max_level","points","total_points","log_total_points","held_shape","held_texture","held_level","target_shape","target_texture","target_level","yield_shape","yield_texture","yield_level","condition"
"1",93,1,"combine","diamond_stripes_0","triangle_stripes_0","diamond_stripes_1",1,0,0,0,"diamond","stripes",0,"triangle","stripes",0,"diamond","stripes",1,"hard"
"2",93,2,"combine","diamond_stripes_1","triangle_dots_0","diamond_dots_2",2,0,0,0,"diamond","stripes",1,"triangle","dots",0,"diamond","dots",2,"hard"
"3",93,3,"combine","diamond_dots_2","triangle_plain_0","",2,0,0,0,"diamond","dots",2,"triangle","plain",0,"","",0,"hard"
"4",93,4,"combine","diamond_dots_2","triangle_checkered_0","diamond_checkered_3",3,0,0,0,"diamond","dots",2,"triangle","checkered",0,"diamond","checkered",3,"hard"
"5",93,5,"combine","diamond_checkered_3","triangle_dots_0","diamond_dots_4",4,0,0,0,"diamond","checkered",3,"triangle","dots",0,"diamond","dots",4,"hard"
"6",93,6,"combine","diamond_dots_4","triangle_checkered_0","diamond_checkered_5",5,0,0,0,"diamond","dots",4,"triangle","checkered",0,"diamond","checkered",5,"hard"
"7",93,7,"combine","diamond_checkered_5","triangle_plain_0","",5,0,0,0,"diamond","checkered",5,"triangle","plain",0,"","",0,"hard"
"8",93,8,"combine","diamond_checkered_5","triangle_stripes_0","",5,0,0,0,"diamond","checkered",5,"triangle","stripes",0,"","",0,"hard"
"9",93,9,"combine","diamond_checkered_5","diamond_stripes_0","",5,0,0,0,"diamond","checkered",5,"diamond","stripes",0,"","",0,"hard"
"10",93,10,"combine","diamond_checkered_5","circle_checkered_0","",5,0,0,0,"diamond","checkered",5,"circle","checkered",0,"","",0,"hard"
"11",93,11,"combine","diamond_checkered_5","diamond_dots_0","",5,0,0,0,"diamond","checkered",5,"diamond","dots",0,"","",0,"hard"
"12",93,12,"combine","diamond_checkered_5","diamond_checkered_0","",5,0,0,0,"diamond","checkered",5,"diamond","checkered",0,"","",0,"hard"
"13",93,13,"combine","diamond_checkered_5","triangle_plain_0","",5,0,0,0,"diamond","checkered",5,"triangle","plain",0,"","",0,"hard"
"14",93,14,"consume","diamond_checkered_5","","",5,100000,100000,11.5129254649702,"diamond","checkered",5,"","",0,"","",0,"hard"
"15",93,15,"combine","diamond_plain_0","triangle_plain_0","diamond_plain_1",5,0,100000,11.5129254649702,"diamond","plain",0,"triangle","plain",0,"diamond","plain",1,"hard"
"16",93,16,"combine","diamond_plain_1","triangle_stripes_0","diamond_stripes_2",5,0,100000,11.5129254649702,"diamond","plain",1,"triangle","stripes",0,"diamond","stripes",2,"hard"
"17",93,17,"combine","diamond_stripes_2","diamond_stripes_0","",5,0,100000,11.5129254649702,"diamond","stripes",2,"diamond","stripes",0,"","",0,"hard"
"18",93,18,"consume","diamond_stripes_2","","",5,100,100100,11.5139249653033,"diamond","stripes",2,"","",0,"","",0,"hard"
"19",93,19,"combine","square_dots_0","triangle_plain_0","",5,0,100100,11.5139249653033,"square","dots",0,"triangle","plain",0,"","",0,"hard"
"20",93,20,"combine","square_dots_0","square_plain_0","",5,0,100100,11.5139249653033,"square","dots",0,"square","plain",0,"","",0,"hard"
"21",93,21,"combine","square_dots_0","diamond_stripes_0","",5,0,100100,11.5139249653033,"square","dots",0,"diamond","stripes",0,"","",0,"hard"
"22",93,22,"combine","square_dots_0","circle_dots_0","square_dots_1",5,0,100100,11.5139249653033,"square","dots",0,"circle","dots",0,"square","dots",1,"hard"
"23",93,23,"combine","square_dots_1","diamond_dots_0","",5,0,100100,11.5139249653033,"square","dots",1,"diamond","dots",0,"","",0,"hard"
"24",93,24,"combine","square_dots_1","diamond_stripes_0","",5,0,100100,11.5139249653033,"square","dots",1,"diamond","stripes",0,"","",0,"hard"
"25",93,25,"combine","square_dots_1","square_plain_0","",5,0,100100,11.5139249653033,"square","dots",1,"square","plain",0,"","",0,"hard"
"26",93,26,"consume","square_dots_1","","",5,10,100110,11.5140248604135,"square","dots",1,"","",0,"","",0,"hard"
"27",93,27,"combine","diamond_stripes_0","circle_checkered_0","",5,0,100110,11.5140248604135,"diamond","stripes",0,"circle","checkered",0,"","",0,"hard"
"28",93,28,"combine","diamond_stripes_0","circle_stripes_0","",5,0,100110,11.5140248604135,"diamond","stripes",0,"circle","stripes",0,"","",0,"hard"
"29",93,29,"combine","diamond_stripes_0","diamond_dots_0","",5,0,100110,11.5140248604135,"diamond","stripes",0,"diamond","dots",0,"","",0,"hard"
"30",93,30,"combine","diamond_stripes_0","square_checkered_0","",5,0,100110,11.5140248604135,"diamond","stripes",0,"square","checkered",0,"","",0,"hard"
"31",93,31,"combine","diamond_stripes_0","square_stripes_0","",5,0,100110,11.5140248604135,"diamond","stripes",0,"square","stripes",0,"","",0,"hard"
