sub_id,mevt_id,msg_id,msg_rank,read_n,times_read,dwell_ms,opened_at,closed_at,raw_msg_event_id,condition,total_points,log_total_points
61,1,1,1,1,2,10173,2026-04-21T08:32:00Z,2026-04-21T08:32:11Z,msg-1-1,easy,212110,12.26486500153706
61,2,1,1,2,2,883,2026-04-21T08:32:12Z,2026-04-21T08:32:13Z,msg-1-2,easy,212110,12.26486500153706
61,3,2,2,1,1,2993,2026-04-21T08:32:14Z,2026-04-21T08:32:17Z,msg-2-3,easy,212110,12.26486500153706
61,4,3,3,1,1,5288,2026-04-21T08:32:18Z,2026-04-21T08:32:23Z,msg-3-4,easy,212110,12.26486500153706
61,5,4,4,1,1,11732,2026-04-21T08:32:24Z,2026-04-21T08:32:36Z,msg-4-5,easy,212110,12.26486500153706
62,1,21,1,1,1,32293,2026-04-21T08:33:47Z,2026-04-21T08:34:20Z,msg-21-1,medium,200102,12.206587512963186
62,2,22,2,1,1,6256,2026-04-21T08:34:21Z,2026-04-21T08:34:28Z,msg-22-2,medium,200102,12.206587512963186
62,3,23,3,1,2,2736,2026-04-21T08:34:28Z,2026-04-21T08:34:31Z,msg-23-3,medium,200102,12.206587512963186
62,4,23,3,2,2,1488,2026-04-21T08:34:32Z,2026-04-21T08:34:34Z,msg-23-4,medium,200102,12.206587512963186
62,5,24,4,1,1,1828,2026-04-21T08:34:34Z,2026-04-21T08:34:36Z,msg-24-5,medium,200102,12.206587512963186
62,6,25,5,1,1,1931,2026-04-21T08:34:37Z,2026-04-21T08:34:39Z,msg-25-6,medium,200102,12.206587512963186
63,1,1,1,1,2,16688,2026-04-21T08:32:39Z,2026-04-21T08:32:56Z,msg-1-1,easy,400040,12.899322320837353
63,2,2,2,1,2,13681,2026-04-21T08:32:57Z,2026-04-21T08:33:11Z,msg-2-2,easy,400040,12.899322320837353
63,3,1,1,2,2,9886,2026-04-21T08:33:12Z,2026-04-21T08:33:22Z,msg-1-3,easy,400040,12.899322320837353
63,4,2,2,2,2,6758,2026-04-21T08:33:23Z,2026-04-21T08:33:30Z,msg-2-4,easy,400040,12.899322320837353
