sub_id,msg_id,msg_from,note_text,saved_at,condition,total_points,log_total_points,msg_rank
88,3,Player #3,Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.,2026-04-21T10:17:30Z,easy,1,0.6931471805599453,3
88,4,Player #4,Just keep matching the same shapes until the shape you have is purple then harvest. Dont pay attention to the patterns.,2026-04-21T10:17:41Z,easy,1,0.6931471805599453,4
88,4,Player #4,Works with same shapes to combine,2026-04-21T10:17:47Z,easy,1,0.6931471805599453,4
89,5,Player #5,remember to press the space bar on a blank square to collect the points.,2026-04-21T10:23:38Z,easy,300030,12.61164108163315,5
89,6,Player #6,When purple cash in.,2026-04-21T10:23:56Z,easy,300030,12.61164108163315,6
89,10,Player #10,"Each pattern on the shape can only be matched in a sequence once (for example, a plain triangle can match a dotty one, but it cant then go back and match another plain).",2026-04-21T10:24:07Z,easy,300030,12.61164108163315,10
89,2,Player #2,"theres no time, so dont rush",2026-04-21T10:24:24Z,easy,300030,12.61164108163315,2
89,3,Player #3,Merging gems of the same shape produced new gems. Attempting to merge gems of differing shapes failed every time in my trials.,2026-04-21T10:24:35Z,easy,300030,12.61164108163315,3
90,22,Player #2,I found that once I found a combination of shapes if I kept going for the same shape then the points would keep multiplying. I didn't notice any patterns between the different shadings of shapes only the actual shapes themselves. Once you get a purple gem don't forget to bank it as any other combinations won't increase value!\nFusion rules & patterns:,2026-04-21T10:25:38Z,medium,4,1.6094379124341003,2
90,21,Player #1,"Only combine Triangles with Circles, and Squares with Diamonds (and vice versa both) - no other combination will work. P.s when you get to purple colour, bank it! the value wont increase.",2026-04-21T10:25:58Z,medium,4,1.6094379124341003,1
90,23,Player #3,"Do not mindlessly click, try and figure out a pattern of what combines first. It is simpler than you think - if two shapes mix, keep mixing the new crystal with the same shape to create new colours!",2026-04-21T10:26:14Z,medium,4,1.6094379124341003,3
91,12,Player #2,Diamonds and triangles seem to work the best.,2026-04-21T10:25:46Z,hard,21405,9.971426535544321,2
91,12,Player #2,Keep making triangles and diamonds until they turn blue,2026-04-21T10:25:48Z,hard,21405,9.971426535544321,2
91,14,Player #4,I found usually if the pattern on the symbol matched it guaranteed 100 points.,2026-04-21T10:26:01Z,hard,21405,9.971426535544321,4
91,15,Player #5,"Combine triangle with diamonds and circles with squares, they must have the same pattern to work.",2026-04-21T10:26:18Z,hard,21405,9.971426535544321,5
