"","sub_id","step","action","held","target","yield","max_level","points","total_points","log_total_points","held_shape","held_texture","held_level","target_shape","target_texture","target_level","yield_shape","yield_texture","yield_level","condition"
"1",38,1,"combine","triangle_stripes_0","square_dots_0","",0,0,0,0,"triangle","stripes",0,"square","dots",0,"","",0,"easy"
"2",38,2,"combine","triangle_stripes_0","triangle_plain_0","triangle_plain_1",1,0,0,0,"triangle","stripes",0,"triangle","plain",0,"triangle","plain",1,"easy"
"3",38,3,"combine","triangle_plain_1","triangle_checkered_0","triangle_checkered_2",2,0,0,0,"triangle","plain",1,"triangle","checkered",0,"triangle","checkered",2,"easy"
"4",38,4,"combine","triangle_checkered_2","triangle_dots_0","triangle_dots_3",3,0,0,0,"triangle","checkered",2,"triangle","dots",0,"triangle","dots",3,"easy"
"5",38,5,"combine","triangle_dots_3","triangle_plain_0","triangle_plain_4",4,0,0,0,"triangle","dots",3,"triangle","plain",0,"triangle","plain",4,"easy"
"6",38,6,"combine","triangle_plain_4","triangle_checkered_0","triangle_checkered_5",5,0,0,0,"triangle","plain",4,"triangle","checkered",0,"triangle","checkered",5,"easy"
"7",38,7,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"8",38,8,"combine","triangle_checkered_5","triangle_dots_0","",5,0,0,0,"triangle","checkered",5,"triangle","dots",0,"","",0,"easy"
"9",38,9,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"10",38,10,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"11",38,11,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"12",38,12,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"13",38,13,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"14",38,14,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"15",38,15,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"16",38,16,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"17",38,17,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"18",38,18,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"19",38,19,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"20",38,20,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"21",38,21,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"22",38,22,"combine","triangle_checkered_5","triangle_stripes_0","",5,0,0,0,"triangle","checkered",5,"triangle","stripes",0,"","",0,"easy"
"23",38,23,"combine","triangle_checkered_5","triangle_dots_0","",5,0,0,0,"triangle","checkered",5,"triangle","dots",0,"","",0,"easy"
"24",38,24,"combine","triangle_checkered_5","circle_checkered_0","",5,0,0,0,"triangle","checkered",5,"circle","checkered",0,"","",0,"easy"
"25",38,25,"combine","triangle_checkered_5","diamond_dots_0","",5,0,0,0,"triangle","checkered",5,"diamond","dots",0,"","",0,"easy"
"26",38,26,"combine","triangle_checkered_5","square_checkered_0","",5,0,0,0,"triangle","checkered",5,"square","checkered",0,"","",0,"easy"
"27",38,27,"combine","triangle_checkered_5","square_dots_0","",5,0,0,0,"triangle","checkered",5,"square","dots",0,"","",0,"easy"
"28",38,28,"combine","triangle_checkered_5","diamond_checkered_0","",5,0,0,0,"triangle","checkered",5,"diamond","checkered",0,"","",0,"easy"
"29",38,29,"combine","triangle_checkered_5","diamond_stripes_0","",5,0,0,0,"triangle","checkered",5,"diamond","stripes",0,"","",0,"easy"
"30",38,30,"combine","triangle_checkered_5","circle_checkered_0","",5,0,0,0,"triangle","checkered",5,"circle","checkered",0,"","",0,"easy"
"31",38,31,"combine","triangle_checkered_5","circle_dots_0","",5,0,0,0,"triangle","checkered",5,"circle","dots",0,"","",0,"easy"
"32",38,32,"combine","triangle_checkered_5","square_plain_0","",5,0,0,0,"triangle","checkered",5,"square","plain",0,"","",0,"easy"
"33",38,33,"combine","triangle_checkered_5","circle_plain_0","",5,0,0,0,"triangle","checkered",5,"circle","plain",0,"","",0,"easy"
"34",38,34,"combine","triangle_checkered_5","square_dots_0","",5,0,0,0,"triangle","checkered",5,"square","dots",0,"","",0,"easy"
"35",38,35,"combine","triangle_checkered_5","diamond_checkered_0","",5,0,0,0,"triangle","checkered",5,"diamond","checkered",0,"","",0,"easy"
"36",38,36,"combine","triangle_checkered_5","diamond_plain_0","",5,0,0,0,"triangle","checkered",5,"diamond","plain",0,"","",0,"easy"
"37",38,37,"consume","triangle_checkered_5","","",5,100000,100000,11.5129254649702,"triangle","checkered",5,"","",0,"","",0,"easy"
"38",38,38,"combine","circle_checkered_0","circle_stripes_0","circle_stripes_1",5,0,100000,11.5129254649702,"circle","checkered",0,"circle","stripes",0,"circle","stripes",1,"easy"
"39",38,39,"combine","circle_stripes_1","circle_dots_0","circle_dots_2",5,0,100000,11.5129254649702,"circle","stripes",1,"circle","dots",0,"circle","dots",2,"easy"
"40",38,40,"consume","circle_dots_2","","",5,100,100100,11.5139249653033,"circle","dots",2,"","",0,"","",0,"easy"
"41",39,1,"combine","diamond_stripes_0","diamond_dots_0","diamond_dots_1",1,0,0,0,"diamond","stripes",0,"diamond","dots",0,"diamond","dots",1,"easy"
"42",39,2,"combine","diamond_dots_1","triangle_checkered_0","",1,0,0,0,"diamond","dots",1,"triangle","checkered",0,"","",0,"easy"
"43",39,3,"combine","diamond_dots_1","triangle_stripes_0","",1,0,0,0,"diamond","dots",1,"triangle","stripes",0,"","",0,"easy"
"44",39,4,"combine","diamond_dots_1","circle_dots_0","",1,0,0,0,"diamond","dots",1,"circle","dots",0,"","",0,"easy"
"45",39,5,"combine","diamond_dots_1","circle_checkered_0","",1,0,0,0,"diamond","dots",1,"circle","checkered",0,"","",0,"easy"
"46",39,6,"consume","diamond_dots_1","","",1,10,10,2.30258509299405,"diamond","dots",1,"","",0,"","",0,"easy"
"47",39,7,"combine","circle_dots_0","triangle_dots_0","",1,0,10,2.30258509299405,"circle","dots",0,"triangle","dots",0,"","",0,"easy"
"48",39,8,"combine","circle_dots_0","triangle_dots_0","",1,0,10,2.30258509299405,"circle","dots",0,"triangle","dots",0,"","",0,"easy"
"49",39,9,"combine","circle_dots_0","square_checkered_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","checkered",0,"","",0,"easy"
"50",39,10,"combine","circle_dots_0","square_checkered_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","checkered",0,"","",0,"easy"
"51",39,11,"combine","circle_dots_0","square_plain_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","plain",0,"","",0,"easy"
"52",39,12,"combine","circle_dots_0","square_plain_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","plain",0,"","",0,"easy"
"53",39,13,"combine","circle_dots_0","square_plain_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","plain",0,"","",0,"easy"
"54",39,14,"combine","circle_dots_0","square_plain_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","plain",0,"","",0,"easy"
"55",39,15,"combine","circle_dots_0","square_plain_0","",1,0,10,2.30258509299405,"circle","dots",0,"square","plain",0,"","",0,"easy"
"56",39,16,"combine","circle_dots_0","diamond_checkered_0","",1,0,10,2.30258509299405,"circle","dots",0,"diamond","checkered",0,"","",0,"easy"
"57",39,17,"combine","circle_dots_0","circle_stripes_0","circle_stripes_1",1,0,10,2.30258509299405,"circle","dots",0,"circle","stripes",0,"circle","stripes",1,"easy"
"58",39,18,"consume","circle_stripes_1","","",1,10,20,2.99573227355399,"circle","stripes",1,"","",0,"","",0,"easy"
"59",39,19,"combine","square_dots_0","square_stripes_0","square_stripes_1",1,0,20,2.99573227355399,"square","dots",0,"square","stripes",0,"square","stripes",1,"easy"
"60",39,20,"consume","square_stripes_1","","",1,10,30,3.40119738166216,"square","stripes",1,"","",0,"","",0,"easy"
"61",39,21,"combine","diamond_plain_0","diamond_dots_0","diamond_dots_1",1,0,30,3.40119738166216,"diamond","plain",0,"diamond","dots",0,"diamond","dots",1,"easy"
"62",39,22,"consume","diamond_dots_1","","",1,10,40,3.68887945411394,"diamond","dots",1,"","",0,"","",0,"easy"
"63",39,23,"combine","circle_dots_0","circle_stripes_0","circle_stripes_1",1,0,40,3.68887945411394,"circle","dots",0,"circle","stripes",0,"circle","stripes",1,"easy"
"64",39,24,"consume","circle_stripes_1","","",1,10,50,3.91202300542815,"circle","stripes",1,"","",0,"","",0,"easy"
"65",39,25,"combine","circle_plain_0","triangle_plain_0","",1,0,50,3.91202300542815,"circle","plain",0,"triangle","plain",0,"","",0,"easy"
"66",39,26,"consume","circle_plain_0","","",1,1,51,3.93182563272433,"circle","plain",0,"","",0,"","",0,"easy"
"67",39,27,"consume","triangle_plain_0","","",1,1,52,3.95124371858143,"triangle","plain",0,"","",0,"","",0,"easy"
"68",39,28,"combine","square_plain_0","circle_plain_0","",1,0,52,3.95124371858143,"square","plain",0,"circle","plain",0,"","",0,"easy"
"69",39,29,"combine","square_plain_0","circle_plain_0","",1,0,52,3.95124371858143,"square","plain",0,"circle","plain",0,"","",0,"easy"
"70",39,30,"combine","square_plain_0","diamond_stripes_0","",1,0,52,3.95124371858143,"square","plain",0,"diamond","stripes",0,"","",0,"easy"
"71",39,31,"combine","square_plain_0","square_stripes_0","square_stripes_1",1,0,52,3.95124371858143,"square","plain",0,"square","stripes",0,"square","stripes",1,"easy"
"72",39,32,"consume","square_stripes_1","","",1,10,62,4.12713438504509,"square","stripes",1,"","",0,"","",0,"easy"
"73",39,33,"combine","circle_checkered_0","circle_plain_0","circle_plain_1",1,0,62,4.12713438504509,"circle","checkered",0,"circle","plain",0,"circle","plain",1,"easy"
"74",39,34,"consume","circle_plain_1","","",1,10,72,4.27666611901606,"circle","plain",1,"","",0,"","",0,"easy"
"75",39,35,"combine","square_dots_0","diamond_stripes_0","",1,0,72,4.27666611901606,"square","dots",0,"diamond","stripes",0,"","",0,"easy"
