"","id","step","action","held","target","yield","max_level","points","total_points","log_total_points","held_shape","held_texture","held_level","target_shape","target_texture","target_level","yield_shape","yield_texture","yield_level","condition"
"927",28,36,"combine","square_plain_0","diamond_dots_0","",1,0,74,4.30406509320417,"square","plain",0,"diamond","dots",0,"","",0,"medium"
"928",28,37,"combine","square_plain_0","triangle_checkered_0","",1,0,74,4.30406509320417,"square","plain",0,"triangle","checkered",0,"","",0,"medium"
"929",28,38,"combine","square_plain_0","circle_dots_0","square_dots_1",1,0,74,4.30406509320417,"square","plain",0,"circle","dots",0,"square","dots",1,"medium"
"930",28,39,"combine","square_dots_1","circle_plain_0","square_plain_2",2,0,74,4.30406509320417,"square","dots",1,"circle","plain",0,"square","plain",2,"medium"
"931",28,40,"consume","square_plain_2","","",2,100,174,5.15905529921453,"square","plain",2,"","",0,"","",0,"medium"
"932",29,1,"combine","square_dots_0","square_plain_0","square_plain_1",1,0,0,0,"square","dots",0,"square","plain",0,"square","plain",1,"easy"
"933",29,2,"combine","square_plain_1","square_stripes_0","square_stripes_2",2,0,0,0,"square","plain",1,"square","stripes",0,"square","stripes",2,"easy"
"934",29,3,"combine","square_stripes_2","square_dots_0","square_dots_3",3,0,0,0,"square","stripes",2,"square","dots",0,"square","dots",3,"easy"
"935",29,4,"combine","square_dots_3","square_stripes_0","square_stripes_4",4,0,0,0,"square","dots",3,"square","stripes",0,"square","stripes",4,"easy"
"936",29,5,"combine","square_stripes_4","square_checkered_0","square_checkered_5",5,0,0,0,"square","stripes",4,"square","checkered",0,"square","checkered",5,"easy"
"937",29,6,"consume","square_checkered_5","","",5,100000,100000,11.5129254649702,"square","checkered",5,"","",0,"","",0,"easy"
"938",29,7,"combine","triangle_plain_0","triangle_checkered_0","triangle_checkered_1",5,0,100000,11.5129254649702,"triangle","plain",0,"triangle","checkered",0,"triangle","checkered",1,"easy"
"939",29,8,"combine","triangle_checkered_1","triangle_dots_0","triangle_dots_2",5,0,100000,11.5129254649702,"triangle","checkered",1,"triangle","dots",0,"triangle","dots",2,"easy"
"940",29,9,"combine","triangle_dots_2","triangle_plain_0","triangle_plain_3",5,0,100000,11.5129254649702,"triangle","dots",2,"triangle","plain",0,"triangle","plain",3,"easy"
"941",29,10,"combine","triangle_plain_3","triangle_stripes_0","triangle_stripes_4",5,0,100000,11.5129254649702,"triangle","plain",3,"triangle","stripes",0,"triangle","stripes",4,"easy"
"942",29,11,"combine","triangle_stripes_4","triangle_checkered_0","triangle_checkered_5",5,0,100000,11.5129254649702,"triangle","stripes",4,"triangle","checkered",0,"triangle","checkered",5,"easy"
"943",29,12,"consume","triangle_checkered_5","","",5,100000,200000,12.2060726455302,"triangle","checkered",5,"","",0,"","",0,"easy"
"944",29,13,"combine","diamond_dots_0","diamond_stripes_0","diamond_stripes_1",5,0,200000,12.2060726455302,"diamond","dots",0,"diamond","stripes",0,"diamond","stripes",1,"easy"
"945",29,14,"combine","diamond_stripes_1","diamond_plain_0","diamond_plain_2",5,0,200000,12.2060726455302,"diamond","stripes",1,"diamond","plain",0,"diamond","plain",2,"easy"
"946",29,15,"combine","diamond_plain_2","diamond_checkered_0","diamond_checkered_3",5,0,200000,12.2060726455302,"diamond","plain",2,"diamond","checkered",0,"diamond","checkered",3,"easy"
"947",29,16,"combine","diamond_checkered_3","diamond_dots_0","diamond_dots_4",5,0,200000,12.2060726455302,"diamond","checkered",3,"diamond","dots",0,"diamond","dots",4,"easy"
"948",29,17,"combine","diamond_dots_4","diamond_checkered_0","diamond_checkered_5",5,0,200000,12.2060726455302,"diamond","dots",4,"diamond","checkered",0,"diamond","checkered",5,"easy"
"949",29,18,"combine","diamond_checkered_5","diamond_stripes_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","stripes",0,"","",0,"easy"
"950",29,19,"combine","diamond_checkered_5","diamond_stripes_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","stripes",0,"","",0,"easy"
"951",29,20,"combine","diamond_checkered_5","circle_plain_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"circle","plain",0,"","",0,"easy"
"952",29,21,"combine","diamond_checkered_5","circle_checkered_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"circle","checkered",0,"","",0,"easy"
"953",29,22,"combine","diamond_checkered_5","circle_stripes_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"circle","stripes",0,"","",0,"easy"
"954",29,23,"combine","diamond_checkered_5","square_checkered_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"square","checkered",0,"","",0,"easy"
"955",29,24,"combine","diamond_checkered_5","diamond_plain_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","plain",0,"","",0,"easy"
"956",29,25,"combine","diamond_checkered_5","diamond_stripes_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","stripes",0,"","",0,"easy"
"957",29,26,"combine","diamond_checkered_5","diamond_stripes_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","stripes",0,"","",0,"easy"
"958",29,27,"combine","diamond_checkered_5","diamond_plain_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","plain",0,"","",0,"easy"
"959",29,28,"combine","diamond_checkered_5","diamond_plain_0","",5,0,200000,12.2060726455302,"diamond","checkered",5,"diamond","plain",0,"","",0,"easy"
"960",29,29,"consume","diamond_plain_0","","",5,1,200001,12.2060776455177,"diamond","plain",0,"","",0,"","",0,"easy"
"961",29,30,"combine","circle_checkered_0","circle_stripes_0","circle_stripes_1",5,0,200001,12.2060776455177,"circle","checkered",0,"circle","stripes",0,"circle","stripes",1,"easy"
"962",29,31,"combine","circle_stripes_1","circle_dots_0","circle_dots_2",5,0,200001,12.2060776455177,"circle","stripes",1,"circle","dots",0,"circle","dots",2,"easy"
"963",29,32,"combine","circle_dots_2","circle_plain_0","circle_plain_3",5,0,200001,12.2060776455177,"circle","dots",2,"circle","plain",0,"circle","plain",3,"easy"
"964",29,33,"combine","circle_plain_3","circle_checkered_0","circle_checkered_4",5,0,200001,12.2060776455177,"circle","plain",3,"circle","checkered",0,"circle","checkered",4,"easy"
"965",29,34,"combine","circle_checkered_4","circle_stripes_0","circle_stripes_5",5,0,200001,12.2060776455177,"circle","checkered",4,"circle","stripes",0,"circle","stripes",5,"easy"
"966",29,35,"consume","circle_stripes_5","","",5,100000,300001,12.6115410869661,"circle","stripes",5,"","",0,"","",0,"easy"
"967",29,36,"combine","triangle_stripes_0","triangle_dots_0","triangle_dots_1",5,0,300001,12.6115410869661,"triangle","stripes",0,"triangle","dots",0,"triangle","dots",1,"easy"
"968",29,37,"consume","triangle_dots_1","","",5,10,300011,12.6115744196328,"triangle","dots",1,"","",0,"","",0,"easy"
